deporte	liga	local	visita	fecha_hora_evento
Futbol	España / La Liga	Real Sociedad	Betis	2023-12-17T10:00Z
Futbol	España / La Liga	Sevilla	Getafe	2023-12-17T10:00Z
Futbol	España / La Liga	Real Madrid	Villarreal	2023-12-17T10:00Z
Futbol	España / La Liga	Valencia	Barcelona	2023-12-17T10:00Z
Futbol	España / La Liga	Alaves	Real Madrid	2023-12-20T10:00Z
Futbol	España / La Liga	Athletic	Las Palmas	2023-12-20T10:00Z
Futbol	España / La Liga	Atletico Madrid	Getafe	2023-12-20T10:00Z
Futbol	España / La Liga	Barcelona	Almeria	2023-12-20T10:00Z
Futbol	España / La Liga	Betis	Girona	2023-12-20T10:00Z
Futbol	España / La Liga	Granada	Sevilla	2023-12-20T10:00Z
Futbol	España / La Liga	Mallorca	Osasuna	2023-12-20T10:00Z
Futbol	España / La Liga	Rayo Vallecano	Valencia	2023-12-20T10:00Z
Futbol	España / La Liga	Cadiz	Real Sociedad	2023-12-20T10:00Z
Futbol	España / La Liga	Villarreal	Celta Vigo	2023-12-20T10:00Z
Futbol	España / La Liga	Atletico Madrid	Sevilla	2023-12-23T10:15Z
Futbol	España / La Liga	Celta Vigo	Betis	2024-01-03T10:00Z
Futbol	España / La Liga	Getafe	Rayo Vallecano	2024-01-03T10:00Z
Futbol	España / La Liga	Girona	Atletico Madrid	2024-01-03T10:00Z
Futbol	España / La Liga	Granada	Cadiz	2024-01-03T10:00Z
Futbol	España / La Liga	Osasuna	Almeria	2024-01-03T10:00Z
Futbol	España / La Liga	Las Palmas	Barcelona	2024-01-03T10:00Z
Futbol	España / La Liga	Real Madrid	Mallorca	2024-01-03T10:00Z
Futbol	España / La Liga	Real Sociedad	Alaves	2024-01-03T10:00Z
Futbol	España / La Liga	Sevilla	Athletic	2024-01-03T10:00Z
Futbol	España / La Liga	Valencia	Villarreal	2024-01-03T10:00Z
Futbol	España / La Liga	Almeria	Girona	2024-01-14T10:00Z
Futbol	España / La Liga	Athletic	Real Sociedad	2024-01-14T10:00Z
Futbol	España / La Liga	Atletico Madrid	Rayo Vallecano	2024-01-14T10:00Z
Futbol	España / La Liga	Barcelona	Osasuna	2024-01-14T10:00Z
Futbol	España / La Liga	Betis	Granada	2024-01-14T10:00Z
Futbol	España / La Liga	Cadiz	Valencia	2024-01-14T10:00Z
Futbol	España / La Liga	Getafe	Real Madrid	2024-01-14T10:00Z
Futbol	España / La Liga	Las Palmas	Villarreal	2024-01-14T10:00Z
Futbol	España / La Liga	Mallorca	Celta Vigo	2024-01-14T10:00Z
Futbol	España / La Liga	Sevilla	Alaves	2024-01-14T10:00Z
